2026-09-02 14:00:29.640 EAT [15600] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35226, 64-bit
2026-09-02 14:00:29.649 EAT [15600] LOG:  listening on IPv6 address "::1", port 55437
2026-09-02 14:00:29.650 EAT [15600] LOG:  listening on IPv4 address "127.0.0.1", port 55437
2026-09-02 14:00:29.901 EAT [6696] LOG:  database system was shut down at 2026-09-02 14:00:13 EAT
2026-09-02 14:00:29.926 EAT [15600] LOG:  database system is ready to accept connections
2026-09-02 14:00:50.480 EAT [5988] ERROR:  column "relation_name" does not exist at character 320
2026-09-02 14:00:50.480 EAT [5988] STATEMENT:  SELECT conrelid::regclass AS relation_name, conname, contype, condeferrable, condeferred, pg_get_constraintdef(oid) AS definition FROM pg_constraint WHERE conrelid IN ('public.phases'::regclass, 'public.projects'::regclass) AND (conrelid = 'public.phases'::regclass OR conname = 'projects_current_phase_fkey') ORDER BY relation_name::text, conname;
2026-09-02 14:01:04.455 EAT [17572] ERROR:  column "status" is of type project_status but expression is of type text at character 424
2026-09-02 14:01:04.455 EAT [17572] HINT:  You will need to rewrite or cast the expression.
2026-09-02 14:01:04.455 EAT [17572] STATEMENT:  INSERT INTO users (name, email) VALUES ('Project Lead', 'lead@example.com'), ('Phase Owner', 'owner@example.com'), ('Other Owner', 'other@example.com'); WITH lead AS (SELECT id FROM users WHERE email = 'lead@example.com') INSERT INTO projects (code, name, description, project_lead_id, start_date, end_date, status) SELECT 'IGNORED', 'Project Zero Phases', 'No phases validation', id, DATE '2026-01-01', DATE '2026-12-31', 'Planning' FROM lead UNION ALL SELECT 'IGNORED', 'Project Many Phases', 'Many phases validation', id, DATE '2026-01-01', DATE '2026-12-31', 'Active' FROM lead UNION ALL SELECT 'IGNORED', 'Project Different Phases', 'Different phases validation', id, DATE '2026-01-01', DATE '2026-12-31', 'Active' FROM lead RETURNING name, id;
2026-09-02 14:01:43.903 EAT [14676] ERROR:  duplicate key value violates unique constraint "phases_project_display_order_key"
2026-09-02 14:01:43.903 EAT [14676] DETAIL:  Key (project_id, display_order)=(5b77498a-9c43-4818-8efd-160be8b803d5, 1) already exists.
2026-09-02 14:01:43.903 EAT [14676] STATEMENT:  WITH many_project AS (SELECT id FROM projects WHERE name = 'Project Many Phases') INSERT INTO phases (project_id, name, display_order) SELECT id, 'Duplicate Order', 1 FROM many_project;
